FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1001,Autauga,County,27770,7503,19838,0,350,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,Baldwin,County,109679,24578,83544,0,1229,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,Barbour,County,10518,4816,5622,0,68,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,Bibb,County,9595,1986,7525,0,74,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,Blount,County,27588,2640,24711,0,209,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,Bullock,County,4613,3446,1146,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,Butler,County,9488,3965,5458,0,59,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,Calhoun,County,50983,15216,35101,0,553,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,Chambers,County,15284,6365,8753,0,141,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,Cherokee,County,12301,1624,10583,0,82,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,Chilton,County,19310,3073,16085,0,123,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1023,Choctaw,County,7464,3127,4296,0,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,Clarke,County,13135,5755,7324,0,49,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,Clay,County,6930,1267,5601,0,53,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,Cleburne,County,7227,675,6484,0,60,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,Coffee,County,22275,5076,16899,0,264,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,Colbert,County,27886,8343,19203,0,272,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,Conecuh,County,6441,2966,3442,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,Coosa,County,5479,1796,3631,0,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,Covington,County,17430,2721,14586,0,97,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Crenshaw,County,6617,1700,4864,0,44,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Cullman,County,41851,4478,36880,0,418,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
