state,field.offices,contacts,Phone,Mail,Door
Alabama,0,0,0,0,0
Alaska,0,0,0,0,0
Arizona,0,368962,368962,0,0
Arkansas,0,0,0,0,0
California,0,101080,101080,0,0
Colorado,14,17984406,15471683,1573946,938777
Connecticut,0,0,0,0,0
Delaware,0,0,0,0,0
District of Columbia,0,0,0,0,0
Florida,48,42108687,35738414,4056126,2314147
Georgia,0,0,0,0,0
Hawaii,0,0,0,0,0
Idaho,0,0,0,0,0
Illinois,0,0,0,0,0
Indiana,0,22047,22047,0,0
Iowa,13,12819923,11196485,1110231,513207
Kansas,0,0,0,0,0
Kentucky,0,0,0,0,0
Louisiana,0,0,0,0,0
Maine,0,414574,400402,0,14172
Maryland,0,0,0,0,0
Massachusetts,0,401338,401338,0,0
Michigan,24,9078554,7681325,357254,1039975
Minnesota,0,669269,669269,0,0
Mississippi,0,0,0,0,0
Missouri,8,1568185,1437169,0,131016
Montana,0,0,0,0,0
Nationwide,283,225340527,192653104,18351653,14335770
Nebraska,1,145625,137090,0,8535
Nevada,12,10881892,8816024,1247837,818031
New Hampshire,9,5285300,4322647,632810,329843
New Jersey,0,0,0,0,0
New Mexico,8,1035444,1015489,0,19955
New York,0,0,0,0,0
North Carolina,24,15005523,12547020,1304697,1153806
North Dakota,0,0,0,0,0
Ohio,40,42050143,35809370,3390991,2849782
Oklahoma,0,0,0,0,0
Oregon,0,0,0,0,0
Pennsylvania,25,18186471,16433988,277997,1474486
Rhode Island,0,0,0,0,0
South Carolina,0,0,0,0,0
South Dakota,0,0,0,0,0
Tennessee,0,0,0,0,0
Texas,0,180098,180098,0,0
Utah,4,1447579,1447579,0,0
Vermont,0,5981,5981,0,0
Virginia,29,29310821,24082528,3376377,1851916
Washington,0,0,0,0,0
West Virginia,0,0,0,0,0
Wisconsin,24,16268626,14367117,1023387,878122
Wyoming,0,0,0,0,0
