creative,party,ad_issue,cycle,ad_purpose,ad_tone
AFLCIO/Bush Debates PBR,democrat,Health care,2000,both,attack
AFLCIO/Bush Debates PBR,democrat,Honesty/Integrity,2000,both,attack
AFLCIO/Bush Debates PBR,democrat,None,2000,both,attack
AFLCIO/Bush Retirement Funds,democrat,Other,2000,both,attack
AFLCIO/Bush Retirement Funds,democrat,Taxes,2000,both,attack
AFLCIO/Bush Retirement Funds,democrat,Social security,2000,both,attack
AFLCIO/Bush Retirement Funds,democrat,None,2000,both,attack
AFTR/McCain Liberal NY Times,republican,Campaign finance reform,2000,personal,attack
AFTR/McCain Liberal NY Times,republican,None,2000,personal,attack
AFTR/Top Priority,republican,Campaign finance reform,2000,personal,attack
AFTR/Top Priority,republican,None,2000,personal,attack
AFV/Bush The Convention's Over,democrat,Special Interests,2000,policy,attack
AFV/Bush The Convention's Over,democrat,Health care,2000,policy,attack
AFV/Bush The Convention's Over,democrat,Medicare,2000,policy,attack
AFV/Bush The Convention's Over,democrat,None,2000,policy,attack
AJS/Bush Think Hard Rx,republican,Health care,2000,policy,attack
AJS/Bush Think Hard Rx,republican,Social security,2000,policy,attack
AJS/Bush Think Hard Rx,republican,None,2000,policy,attack
AJS/Gore Are You Taxed Enough Already,republican,Taxes,2000,policy,attack
AJS/Gore Are You Taxed Enough Already,republican,None,2000,policy,attack
ASI/Can't Afford Gore Taxes,republican,Social security,2000,policy,attack
ASI/Can't Afford Gore Taxes,republican,Taxes,2000,policy,attack
ASI/Can't Afford Gore Taxes,republican,None,2000,policy,attack
BAUER/Human Rights,republican,Civil rights/race relations,2000,policy,promote
BAUER/Human Rights,republican,Abortion,2000,policy,promote
BAUER/Human Rights,republican,Other,2000,policy,promote
BAUER/Human Rights,republican,None,2000,policy,promote
BAUER/Mother's Proud,republican,Background,2000,both,promote
BAUER/Mother's Proud,republican,Personal values,2000,both,promote
BAUER/Mother's Proud,republican,Taxes,2000,both,promote
BAUER/Mother's Proud,republican,Social security,2000,both,promote
BAUER/National Security,republican,China,2000,policy,contrast
BAUER/National Security,republican,Foreign policy,2000,policy,contrast
