"state","period_startdate","period_enddate","biden_airings","trump_airings","total_airings","total_cost"
"AZ","2020-04-09","2020-09-27",36166,29412,65578,40117970
"AZ","2020-09-05","2020-09-27",12235,6390,18625,15483620
"FL","2020-04-09","2020-09-27",75931,58425,134356,92122560
"FL","2020-09-05","2020-09-27",37051,19331,56382,45699260
"WI","2020-04-09","2020-09-27",51473,41684,93157,42716860
"WI","2020-09-05","2020-09-27",17659,10267,27926,13557570
"PA","2020-04-09","2020-09-27",65830,53535,119365,72218750
"PA","2020-09-05","2020-09-27",23782,8757,32539,22936350
"NC","2020-04-09","2020-09-27",36596,43781,80377,44597210
"NC","2020-09-05","2020-09-27",15449,13518,28967,22173790
"MI","2020-04-09","2020-09-27",52657,19777,72434,34808980
"MI","2020-09-05","2020-09-27",20853,5466,26319,12308360
"GA","2020-04-09","2020-09-27",124,27747,27871,13169890
"GA","2020-09-05","2020-09-27",121,9631,9752,6110120
"NV","2020-04-09","2020-09-27",8875,6198,15073,5855560
"NV","2020-09-05","2020-09-27",4652,294,4946,1853880
"MN","2020-04-09","2020-09-27",8804,7173,15977,8685100
"MN","2020-09-05","2020-09-27",7620,4373,11993,6664630
"SC","2020-04-09","2020-09-27",1889,4759,6648,4102960
"SC","2020-09-05","2020-09-27",799,994,1793,1387710
"AL","2020-04-09","2020-09-27",3273,3179,6452,2600640
"AL","2020-09-05","2020-09-27",1120,849,1969,1274570
"IA","2020-04-09","2020-09-27",868,8435,9303,5055000
"IA","2020-09-05","2020-09-27",807,1288,2095,2554270
"OH","2020-04-09","2020-09-27",4998,9073,14071,5111190
"OH","2020-09-05","2020-09-27",2067,7,2074,386780
"IN","2020-04-09","2020-09-27",2469,305,2774,346070
"IN","2020-09-05","2020-09-27",1304,0,1304,195840
"NE","2020-04-09","2020-09-27",909,1226,2135,946330
"NE","2020-09-05","2020-09-27",908,821,1729,812340
"ND","2020-04-09","2020-09-27",1089,594,1683,252980
"ND","2020-09-05","2020-09-27",1089,548,1637,250140
"NM","2020-04-09","2020-09-27",9,1017,1026,196230
"NM","2020-09-05","2020-09-27",9,7,16,4150
"ME","2020-04-09","2020-09-27",19,467,486,220950
"ME","2020-09-05","2020-09-27",7,457,464,191280
"TX","2020-04-09","2020-09-27",451,596,1047,660680
"TX","2020-09-05","2020-09-27",280,10,290,47160
"CA","2020-04-09","2020-09-27",114,702,816,340180
"CA","2020-09-05","2020-09-27",114,74,188,84580
"IL","2020-04-09","2020-09-27",12,332,344,108170
"IL","2020-09-05","2020-09-27",9,0,9,460
"TN","2020-04-09","2020-09-27",5,587,592,88550
"TN","2020-09-05","2020-09-27",5,21,26,2040
"DC","2020-04-09","2020-09-27",205,5,210,792320
"DC","2020-09-05","2020-09-27",0,1,1,15370
"MO","2020-04-09","2020-09-27",6,401,407,89330
"MO","2020-09-05","2020-09-27",6,0,6,290
"UT","2020-04-09","2020-09-27",34,170,204,28110
"UT","2020-09-05","2020-09-27",34,10,44,7250
"WA","2020-04-09","2020-09-27",3,330,333,68710
"WA","2020-09-05","2020-09-27",3,0,3,430
"CO","2020-04-09","2020-09-27",128,61,189,32510
"CO","2020-09-05","2020-09-27",128,11,139,24340
"OK","2020-04-09","2020-09-27",75,159,234,61010
"OK","2020-09-05","2020-09-27",14,2,16,910
"SD","2020-04-09","2020-09-27",4,201,205,17940
"SD","2020-09-05","2020-09-27",4,25,29,1840
"OR","2020-04-09","2020-09-27",11,181,192,26920
"OR","2020-09-05","2020-09-27",11,3,14,1070
"NY","2020-04-09","2020-09-27",7,179,186,18450
"NY","2020-09-05","2020-09-27",7,0,7,450
"MS","2020-04-09","2020-09-27",2,150,152,7740
"MS","2020-09-05","2020-09-27",2,8,10,420
"NH","2020-04-09","2020-09-27",94,0,94,157900
"NH","2020-09-05","2020-09-27",73,0,73,32110
"KY","2020-04-09","2020-09-27",7,226,233,38470
"KY","2020-09-05","2020-09-27",7,0,7,310
"WY","2020-04-09","2020-09-27",3,95,98,4090
"WY","2020-09-05","2020-09-27",3,9,12,580
"ID","2020-04-09","2020-09-27",6,66,72,8770
"ID","2020-09-05","2020-09-27",6,3,9,1350
"MT","2020-04-09","2020-09-27",60,9,69,19320
"MT","2020-09-05","2020-09-27",11,0,11,1260
"VT","2020-04-09","2020-09-27",3,48,51,2480
"VT","2020-09-05","2020-09-27",3,0,3,480
"MA","2020-04-09","2020-09-27",40,3,43,29670
"MA","2020-09-05","2020-09-27",40,2,42,29190
"AK","2020-04-09","2020-09-27",61,0,61,18330
"AK","2020-09-05","2020-09-27",13,0,13,3210
"KS","2020-04-09","2020-09-27",0,34,34,3450
"KS","2020-09-05","2020-09-27",0,0,0,0
"AR","2020-04-09","2020-09-27",1,30,31,2130
"AR","2020-09-05","2020-09-27",1,0,1,80
"WV","2020-04-09","2020-09-27",34,9,43,41060
"WV","2020-09-05","2020-09-27",5,0,5,300
"CT","2020-04-09","2020-09-27",7,1,8,2440
"CT","2020-09-05","2020-09-27",6,0,6,360
"HI","2020-04-09","2020-09-27",8,0,8,1370
"HI","2020-09-05","2020-09-27",8,0,8,1370
"LA","2020-04-09","2020-09-27",8,0,8,590
"LA","2020-09-05","2020-09-27",7,0,7,250
"VA","2020-04-09","2020-09-27",16,0,16,1960
"VA","2020-09-05","2020-09-27",16,0,16,1960
"MD","2020-04-09","2020-09-27",2,0,2,640
"MD","2020-09-05","2020-09-27",2,0,2,640
