electors,state,
9,Alabama,r
3,Alaska,r
11,Arizona,s
6,Arkansas,r
55,California,d
9,Colorado,d
7,Connecticut,d
3,D.C.,d
3,Delaware,d
29,Florida,s
16,Georgia,s
4,Hawaii,d
4,Idaho,r
20,Illinois,d
11,Indiana,r
6,Iowa,s
6,Kansas,r
8,Kentucky,r
8,Louisiana,r
4,Maine,d
10,Maryland,d
11,Massachusetts,d
16,Michigan,s
10,Minnesota,s
6,Mississippi,r
10,Missouri,r
3,Montana,r
5,Nebraska,r
6,Nevada,s
4,New Hampshire,s
14,New Jersey,d
5,New Mexico,d
29,New York,d
15,North Carolina,s
3,North Dakota,r
18,Ohio,s
7,Oklahoma,r
7,Oregon,d
20,Pennsylvania,s
4,Rhode Island,d
9,South Carolina,r
3,South Dakota,r
11,Tennessee,r
38,Texas,s
6,Utah,r
3,Vermont,d
13,Virginia,d
12,Washington,d
5,West Virginia,r
10,Wisconsin,s
3,Wyoming,r
