state_abbv,state_fips,year,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_pct,nonvoter_reg_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
AK,Alaska,2008,0,0,NA,NA,NA,0.06810195,0.062138822,7.8125711e-4,0.0018604256,0.16454825,0.042964555,0.1546564,1,1,0.15214236,0.052107278,0,5.7127004,0.0034948266,0.87569302,0.68277264
AK,Alaska,2010,1,1,0,1,0,0.08204972,0.049772527,0.0049784016,0.0021139057,0.15594244,0.042494591,0.48281661,1,1,0.09313529,0.035279382,0,NA,NA,0.83543092,0.52556038
AK,Alaska,2012,1,1,0,1,0,0.097062916,0.060354091,8.1001106e-4,0.002661465,0.15452495,0.082483955,0.19329703,1,1,0.12015536,0.063834205,0,3.6568716,0.0039742002,0.86847156,0.59180635
AK,Alaska,2014,1,1,0,1,0,0.086495906,0.056739084,0.0072061163,0.003245001,0.24949852,0.050324675,0.25664371,1,1,0.093119651,0.020183906,0,4.1565981,NA,0.8269493,0.54381794
AK,Alaska,2016,1,1,1,1,0,0.11164635,0.061313752,8.3826185e-4,0.0027096584,0.13172203,0.079329856,0.12363035,1,1,0.12192352,0.05422933,1,6.4288425,0.0082982099,0.87502903,0.61800861
AL,Alabama,2008,0,0,NA,NA,NA,4.3909875e-4,NA,NA,NA,NA,NA,0.31000322,0.48609424,0,0.2261501,0.075938895,0,14.260803,NA,0.85220754,0.60952842
AL,Alabama,2010,1,1,0,1,1,0.0010221432,0.0023871255,0.0012293512,NA,NA,0.19175628,0.76430768,0.59425175,0,0.18656588,0.078653038,0,NA,NA,0.8214131,0.43060836
AL,Alabama,2012,1,1,0,1,1,NA,0.0036718757,0.0021163446,NA,NA,NA,NA,0.58248115,0,0.23142886,0.076355055,0,11.308345,0.0062190001,0.86328095,0.58890975
AL,Alabama,2014,1,1,0,1,1,0.017743733,0.0019377223,6.1303435e-4,NA,NA,NA,0.81782645,0.62521034,0,0.16604702,0.06461484,0,3.71631,NA,0.80184573,0.33212399
AL,Alabama,2016,1,1,1,1,1,0.01607169,NA,NA,NA,0.10025997,0.039246466,0.38134205,0.72850353,0,0.22291428,0.050768558,1,13.146628,0.0066012298,0.86212748,0.59257072
AR,Arkansas,2008,1,1,NA,NA,NA,NA,0.0020310334,NA,NA,NA,NA,0.26000941,0.70734876,0,0.17098345,0.037976686,0,21.483608,0.0085276598,0.74238497,0.52904886
AR,Arkansas,2010,1,1,1,1,0,0.045255907,0.0016514588,9.0785581e-4,0.0016141824,0.097371541,0.041946311,0.5247525,0.97760504,0,0.15861425,0.025411213,0,NA,NA,0.71925467,0.37541923
AR,Arkansas,2012,1,1,1,1,0,NA,0.0024149076,0.0015701201,9.4982161e-4,0.090755172,0.10014171,0.27744511,0.96925056,0,0.17145225,0.051281892,0,12.887924,0.0084186997,0.7594837,0.50954992
AR,Arkansas,2014,1,1,0,1,0,0.01393076,0.0019158198,0.0010862025,0.0012380371,0.094845697,NA,0.35431653,0.95094705,0,0.14078654,0.022307964,0,7.7012954,NA,0.74729663,0.40142861
AR,Arkansas,2016,1,1,1,1,0,0.033786308,0.004131767,0.0030509874,0.0016215255,0.079493009,NA,0.17259933,0.93391359,0,0.20186481,0.046497617,0,15.270416,0.00627279,0.83705938,0.53103119
AZ,Arizona,2008,0,0,NA,NA,NA,NA,0.065406613,0.019162368,0.0029415933,0.064290576,0.019081889,0.36594051,0.98944879,1,0.12171349,0.091858916,1,23.714245,0.011795674,0.82941592,0.57360554
AZ,Arizona,2010,1,1,0,0,1,NA,0.046745561,0.0082611777,0.0047194487,0.23077932,0.035565645,0.67289603,0.99101335,1,0.087297969,0.064290255,1,NA,NA,0.80325204,0.41521883
AZ,Arizona,2012,1,1,0,1,1,NA,0.078869276,0.014211697,0.0053322911,0.19674179,0.0095288511,0.28583315,0.99073499,1,0.12530252,0.090455242,1,10.787029,0.0104688,0.77452207,0.53292167
AZ,Arizona,2014,1,1,0,1,1,0.087054349,0.042909048,0.0055109318,0.0067556715,0.42126796,0.033846155,0.6309821,1,1,0.077035852,0.055106144,1,2.1547434,NA,0.77447933,0.34115994
AZ,Arizona,2016,1,1,0,1,1,NA,0.037650678,0.00879985,0.0039553232,0.18576646,0.026981179,0.18325317,0.98555118,1,0.08287324,0.063461348,1,5.6544242,0.0213564,0.809389,0.56217176
CA,California,2008,0,0,NA,NA,NA,NA,0.057856195,0.0098768296,0.0096582723999999991,0.16152531,0.056657549,0.37332803,0.96755618,1,0.14775597,0.085749581,0,13.643649,0.013190327,0.82484579,0.61735171
CA,California,2010,0,0,0,0,0,NA,0.051936179,0.0064788805,0.0069039864,0.30940014,0.044668358,0.7217111,0.98531157,1,0.11231986,0.051526897,0,NA,NA,0.75913417,0.45050842
CA,California,2012,0,0,0,0,0,NA,0.081449635,0.013647079,0.0045501031,0.29382619,0.084828839,0.46028459,0.98311806,1,0.13636522,0.093503714,1,5.8031926,0.0123927,0.80100423,0.55893815
CA,California,2014,1,0,0,0,0,0.096147023,0.050601542,0.0054662847,0.0065635093,0.4949773,0.1152748,0.83754742,0.99565881,1,0.10194969,0.041763436,1,2.087554,NA,0.74149376,0.3078467
CA,California,2016,1,1,0,1,1,0.15851121,0.089469254,0.013246233,0.0040015061,0.29174548,0.047381636,0.29253381,0.99126631,1,0.11564228,0.07864251,1,6.6078906,0.025503291,0.797656,0.5840137
CO,Colorado,2008,0,1,NA,NA,NA,NA,0.021891385,0.0033937104,0.0032985019,0.090012543,0.05809316,0.26238385,0.93966848,1,0.11898357,0.064454556,0,12.64701,0.0086180698,0.84003299,0.71601105
CO,Colorado,2010,1,1,0,1,1,0.06640432,0.021528471,0.002005663,0.0043214466,0.21994133,0.029903254,0.57023472,1,1,0.098185003,0.048164621,1,NA,NA,0.82371521,0.50696188
CO,Colorado,2012,1,1,0,1,1,0.016784405,0.02422197,0.0038040136,0.0063234498,0.12493495,0.036514428,0.3044472,1,1,0.091950834,0.063574754,1,6.3068857,0.0104516,0.87843382,0.71049291
CO,Colorado,2014,1,1,0,1,1,0.024444325,4.7257569e-4,1.9124622e-4,0.0071792002,0.349731,0.017859757,0.6655581,1,1,0.072137155,0.043039098,1,1.4026475,NA,0.8667469,0.54463571
CO,Colorado,2016,1,1,0,1,1,0.032989845,0.0020490957,5.1418087e-4,0.0080608167,0.22166236,0.01612764,0.40220064,1,1,0.070554003,0.061499361,1,2.3994479,0.02761911,0.90048063,0.72087783
CT,Connecticut,2008,0,0,NA,NA,NA,0.0042328816,4.3469141e-4,2.7175812e-4,0.0018682611,NA,NA,NA,0.7778371,1,0.21747319,0.047210388,0,10.074364,NA,0.85563833,0.66642547
CT,Connecticut,2010,1,1,0,1,0,NA,7.981821e-4,5.0092209e-4,0.0010763758,0.065101564,0.01594203,0.36032757,0.94395918,1,0.14739034,0.028934998,0,NA,NA,0.81373984,0.45959899
