year,candidate,state,fips,battle,number_fo,dummy_fo,population,totalvote,demvote,dempct,turnout,turnout_lag,turnout_change,dummy_fo_lag,dummy_fo_change,dempct_lag,dempct_change
2012,Obama,Alabama,1001,FALSE,0,0,50354,23973,6363,0.26542359590530396,0.4760892878420781,0.4694959685427176,0.006593319299360523,0,0,0.2577301859855652,0.0076934099197387695
2008,Obama,Alabama,1001,FALSE,0,0,50354,23641,6093,0.2577301859855652,0.4694959685427176,0.4251592695970852,0.04433669894563236,0,0,0.23839999735355377,0.019330188632011414
2004,Kerry,Alabama,1001,FALSE,0,0,46933,19954,4758,0.23839999735355377,0.4251592695970852,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1003,FALSE,0,0,176212,85491,18424,0.21550805866718292,0.4851599210042449,0.4620173427462375,0.023142578258007362,0,0,0.2381191998720169,-0.022611141204833984
2008,Obama,Alabama,1003,FALSE,0,0,176212,81413,19386,0.2381191998720169,0.4620173427462375,0.4379426848818123,0.024074657864425197,0,0,0.22750000655651093,0.010619193315505981
2004,Kerry,Alabama,1003,FALSE,0,0,156573,68570,15599,0.22750000655651093,0.4379426848818123,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1005,FALSE,0,0,29836,11517,5912,0.5133281350135803,0.38601018903338247,0.38979755999463733,-0.0037873709612548656,0,0,0.48985379934310913,0.02347433567047119
2008,Obama,Alabama,1005,FALSE,0,0,29836,11630,5697,0.48985379934310913,0.38979755999463733,0.36428134971824294,0.02551621027639439,0,0,0.450300008058548,0.03955379128456116
2004,Kerry,Alabama,1005,FALSE,0,0,29458,10731,4832,0.450300008058548,0.36428134971824294,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1007,FALSE,0,0,21589,8420,2202,0.2615201771259308,0.39001343276668676,0.40038908703506415,-0.010375654268377388,0,0,0.2659648060798645,-0.004444628953933716
2008,Obama,Alabama,1007,FALSE,0,0,21589,8644,2299,0.2659648060798645,0.40038908703506415,0.356516408902301,0.04387267813276313,0,0,0.27630001306533813,-0.010335206985473633
2004,Kerry,Alabama,1007,FALSE,0,0,21208,7561,2089,0.27630001306533813,0.356516408902301,NA,NA,NA,NA,NA,NA
2012,Obama,Alabama,1009,FALSE,0,0,57794,24060,2970,0.12344139814376831,0.4163061909540783,0.41988787763435653,-0.003581686680278251,0,0,0.14513540267944336,-0.02169400453567505
