year,party,candidate,state,city,latitude,longitude,full_address
2012,democrat,Obama,AK,Anchorage,61.1968,-149.873,"2602 Fairbanks Street, Anchorage, AK"
2012,democrat,Obama,AL,Birmingham,33.515701,-86.802498,"2201 1st Ave North, 1st Floor, Birmingham, AL"
2012,democrat,Obama,AR,North Little Rock,34.756401,-92.2696,"201 W Broadway, Suite G, North Little Rock, AR"
2012,democrat,Obama,AZ,Tucson,32.2351,-110.894,"4639 E. 1st, Tucson, AZ"
2012,democrat,Obama,AZ,Phoenix,33.505699,-112.075,"103 W Highland, Suite 101, Phoenix, AZ"
2012,democrat,Obama,CA,Los Angeles,34.020599,-118.405,"10401 Venice Blvd, 2nd floor, Los Angeles, CA"
2012,democrat,Obama,CA,Sacramento,38.553501,-121.425,"6760 Folsom Blvd., Sacramento, CA"
2012,democrat,Obama,CA,Los Angeles,33.991798,-118.331,"5444 Crenshaw Blvd. Suite 100, Los Angeles, CA"
2012,democrat,Obama,CA,Cathedral City,33.7813,-116.469,"67-555 East Palm Canyon Drive, Cathedral City, CA"
2012,democrat,Obama,CA,San Jose,37.335899,-121.893,"23 N. Market Street, San Jose, CA"
2012,democrat,Obama,CA,Los Angeles,33.975101,-118.254,"1167 East Florence Avenue, Los Angeles, CA"
2012,democrat,Obama,CA,San Diego,32.756401,-117.094,"4660 El Cajon Blvd., Suite 206, San Diego, CA"
2012,democrat,Obama,CA,Mountain View,37.389,-122.091,"1411 West El Camino Real, Mountain View, CA"
2012,democrat,Obama,CA,San Rafael,37.9729,-122.537,"1654 Second Street, San Rafael, CA"
2012,democrat,Obama,CA,Santa Monica,34.0154,-118.496,"1408 Third Street, 3rd Floor, Santa Monica, CA"
2012,democrat,Obama,CA,Oakland,37.805698,-122.271,"300 Frank Ogawa Plaza, Suite 410, Oakland, CA"
2012,democrat,Obama,CA,Pasadena,34.148399,-118.132,"140 N. Lake Street, Pasadena, CA"
2012,democrat,Obama,CA,San Francisco,37.764801,-122.433,"2278 Market Street, San Francisco, CA"
2012,democrat,Obama,CA,Van Nuys,34.1945,-118.466,"6819 Sepulveda Blvd., Suite 302, Van Nuys, CA"
2012,democrat,Obama,CO,Denver,39.730499,-104.988,"77 W 9th Avenue, Denver, CO"
2012,democrat,Obama,CO,Grand Junction,39.067501,-108.563,"546 Main Street, Suite 403, Grand Junction, CO"
2012,democrat,Obama,CO,Fort Collins,40.5826,-105.079,"401 S Mason Street, Fort Collins, CO"
2012,democrat,Obama,CO,Lakewood,39.740601,-105.107,"9797 W. Colfax, Suite 2-G, Lakewood, CO"
2012,democrat,Obama,CO,Pueblo,38.262402,-104.616,"330 S. Union Avenue, Pueblo, CO"
2012,democrat,Obama,CO,Colorado Springs,38.824501,-104.825,"24 E Rio Grande, Colorado Springs, CO"
2012,democrat,Obama,CO,Thornton,39.869301,-104.98,"550 E Thornton Pky, Suite 202, Thornton, CO"
2012,democrat,Obama,CO,Aurora,39.696701,-104.808,"15451 E Mississippi Avenue, Suite B, Aurora, CO"
2012,democrat,Obama,CO,Denver,39.711399,-105.027,"3131 W Alameda Avenue, Denver, CO"
2012,democrat,Obama,CO,Greeley,40.4119,-104.691,"807 17th Street, Suite G, Greeley, CO"
2012,democrat,Obama,CO,Boulder,40.020599,-105.266,"2206 Pearl Street, Boulder, CO"
2012,democrat,Obama,CO,Durango,37.269299,-107.879,"572 E. Third Avenue, 1st Floor, Durango, CO"
2012,democrat,Obama,CO,Glenwood Springs,39.544601,-107.325,"912 Grand Avenue, Glenwood Springs, CO"
2012,democrat,Obama,CO,Denver,39.760899,-104.973,"3100 Downing St, A, Denver, CO"
2012,democrat,Obama,CO,Loveland,40.4053,-105.084,"601 E. Eisenhower, Unit 18, Loveland, CO"
2012,democrat,Obama,CO,Longmont,40.137299,-105.131,"1811 Hover St, Unit G, Longmont, CO"
2012,democrat,Obama,CO,Littleton,39.581699,-105.132,"11757 W Ken Caryl Ave, Suite K, Littleton, CO"
2012,democrat,Obama,CO,Highlands Ranch,39.559898,-104.988,"36 W. Springer Dr., Highlands Ranch, CO"
2012,democrat,Obama,CO,Fountain,38.756901,-104.75,"5520 S. US Highway 85-87, Suite 105, Fountain, CO"
2012,democrat,Obama,CO,Silverthorne,39.6273,-106.063,"285 Summit Place, Silverthorne, CO"
2012,democrat,Obama,CO,Woodland Park,38.983398,-105.045,"1075 E Hwy 24, Woodland Park, CO"
2012,democrat,Obama,CO,Colorado Springs,38.942902,-104.775,"7608 N. Union Blvd., Unit E, Colorado Springs, CO"
2012,democrat,Obama,CO,Brighton,39.986801,-104.815,"637 E Bridge St, Brighton, CO"
2012,democrat,Obama,CO,Broomfield,39.914398,-105.072,"6821 W 120th Ave, Units C, D, E, Broomfield, CO"
2012,democrat,Obama,CO,Boulder,40.000198,-105.253,"2995 Baseline Rd, Suite 112, Boulder, CO"
2012,democrat,Obama,CO,Commerce City,39.827301,-104.917,"6143 E 72nd Ave, Commerce City, CO"
2012,democrat,Obama,CO,Steamboat Springs,40.483601,-106.83,"401 Lincoln Ave, Suite C, Steamboat Springs, CO"
2012,democrat,Obama,CO,Pueblo,38.270901,-104.586,"1402 E. 4th St, Pueblo, CO"
2012,democrat,Obama,CO,Arvada,39.837299,-105.082,"7705 Wadsworth Blvd, Unit I, Arvada, CO"
2012,democrat,Obama,CO,Edwards,39.644199,-106.596,"105 Edwards Village , A-103, Edwards, CO"
2012,democrat,Obama,CO,Evergreen,39.693600000000004,-105.357,"1153 Bergen Parkway, Unit K, Evergreen, CO"
2012,democrat,Obama,CO,Littleton,39.594501,-104.987,"26 E. Arapahoe Rd, Unit 26, Littleton, CO"
2012,democrat,Obama,CO,Aspen,39.189602,-106.816,"100 S. Spring St., Unit 5, Aspen, CO"
2012,democrat,Obama,CO,Denver,39.784302,-104.851,"4800 Oakland , Unit 1, Denver, CO"
2012,democrat,Obama,CO,Aurora,39.741001,-104.874,"9801 E. Colfax Ave, Unit 102, Aurora, CO"
2012,democrat,Obama,CO,Fort Collins,40.529301,-105.077,"4206 S. College Ave, Unit 109, Fort Collins, CO"
2012,democrat,Obama,CO,Auroroa,39.5658,-104.718,"7450 S. Gartrell , Unit B3, Auroroa, CO"
2012,democrat,Obama,CO,Salida,38.536701,-105.992,"142 W. 1st St, Salida, CO"
2012,democrat,Obama,CO,Grand Junction,39.106602,-108.638,"2454 HWY 6 & 50 , Suite 112, Grand Junction, CO"
