year,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin
1948,democrat,TRUE,"Truman, Harry",49.50723015,52.31764024526674,TRUE,TRUE,FALSE
1948,republican,FALSE,"Dewey, Thomas",45.12094864,47.68235975473327,FALSE,FALSE,FALSE
1952,democrat,FALSE,"Stevenson, Adlai",44.37787914,44.71055631014964,FALSE,TRUE,FALSE
1952,republican,TRUE,"Eisenhower, Dwight",54.87805235,55.28944368985036,FALSE,FALSE,FALSE
1956,democrat,FALSE,"Stevenson, Adlai",41.95397262,42.23566031975866,TRUE,FALSE,FALSE
1956,republican,TRUE,"Eisenhower, Dwight",57.37908457,57.76433968024135,TRUE,TRUE,FALSE
1960,republican,FALSE,"Nixon, Richard M.",49.54828509,49.91324051234254,FALSE,TRUE,TRUE
1960,democrat,TRUE,"Kennedy, John F.",49.72053533,50.08675948765746,FALSE,FALSE,FALSE
1964,republican,FALSE,"Goldwater, Barry",38.47171769,38.65603216011591,FALSE,FALSE,FALSE
1964,democrat,TRUE,"Johnson, Lyndon B.",61.05147582,61.34396783988409,TRUE,TRUE,TRUE
1968,republican,TRUE,"Nixon, Richard M.",43.41574369,50.40462161106466,FALSE,FALSE,TRUE
1968,democrat,FALSE,"Humphrey, Hubert",42.71870649,49.595378388935345,FALSE,TRUE,FALSE
1972,republican,TRUE,"Nixon, Richard M.",60.69324321,61.78900883147498,TRUE,TRUE,TRUE
1972,democrat,FALSE,"McGovern, George",37.53335786,38.21099116852502,FALSE,FALSE,FALSE
1976,democrat,TRUE,"Carter, Jimmy",49.85266664,51.13734917444963,FALSE,FALSE,FALSE
1976,republican,FALSE,"Ford, Gerald",47.63511371,48.86265082555036,TRUE,TRUE,TRUE
1980,democrat,FALSE,"Carter, Jimmy",41.01993031,44.84244123187356,TRUE,TRUE,FALSE
1980,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE
1984,democrat,FALSE,"Mondale, Walter",40.41861657,40.876648809274144,FALSE,FALSE,TRUE
1984,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE
1988,democrat,FALSE,"Dukakis, Michael",45.54877735,46.167544710005984,FALSE,FALSE,FALSE
1988,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE
1992,democrat,TRUE,"Clinton, Bill",42.88416955,53.62069583838034,FALSE,FALSE,FALSE
1992,republican,FALSE,"Bush, George H.W.",37.09272907,46.37930416161966,TRUE,TRUE,TRUE
1996,democrat,TRUE,"Clinton, Bill",49.06674998,54.804024027865864,TRUE,TRUE,FALSE
1996,republican,FALSE,"Dole, Robert",40.46454056,45.195975972134136,FALSE,FALSE,FALSE
2000,democrat,FALSE,"Gore, Al",48.14325143,50.25952344926664,FALSE,TRUE,TRUE
2000,republican,TRUE,"Bush, George W.",47.64605998,49.740476550733355,FALSE,FALSE,FALSE
2004,democrat,FALSE,"Kerry, John",48.0664567,48.73068404108468,FALSE,FALSE,FALSE
2004,republican,TRUE,"Bush, George W.",50.5704856,51.26931595891532,TRUE,TRUE,FALSE
2008,democrat,TRUE,"Obama, Barack H.",52.76155846,53.77076727938485,FALSE,FALSE,FALSE
2008,republican,FALSE,"McCain, John",45.3615689,46.22923272061515,FALSE,TRUE,FALSE
2012,democrat,TRUE,"Obama, Barack H.",50.87488268,51.915258039578795,TRUE,TRUE,TRUE
2012,republican,FALSE,"Romney, Mitt",47.12112967,48.08474196042121,FALSE,FALSE,FALSE
2016,democrat,FALSE,"Clinton, Hillary",47.05731122,51.16249043797541,FALSE,TRUE,TRUE
2016,republican,TRUE,"Trump, Donald J.",44.91888231,48.83750956202459,FALSE,FALSE,FALSE
