year,state,state_abb,county,fips,D_win_margin
2000,Alabama,AL,Autauga,1001,-40.97512784751278
2000,Alabama,AL,Baldwin,1003,-47.583215297450415
2000,Alabama,AL,Barbour,1005,0.8850408850408868
2000,Alabama,AL,Bibb,1007,-22.01098436839881
2000,Alabama,AL,Blount,1009,-42.786401824959654
2000,Alabama,AL,Bullock,1011,40.00815660685155
2000,Alabama,AL,Butler,1013,-6.676919133666544
2000,Alabama,AL,Calhoun,1015,-16.76989899509111
2000,Alabama,AL,Chambers,1017,-3.557546053743444
2000,Alabama,AL,Cherokee,1019,-8.398312667774505
2000,Alabama,AL,Chilton,1021,-34.85290219984098
2000,Alabama,AL,Choctaw,1023,1.451044209384321
2000,Alabama,AL,Clarke,1025,-12.174479166666679
2000,Alabama,AL,Clay,1027,-28.454869964303924
2000,Alabama,AL,Cleburne,1029,-32.77690494893952
2000,Alabama,AL,Coffee,1031,-30.568873914733707
2000,Alabama,AL,Colbert,1033,0.11610626044956263
2000,Alabama,AL,Conecuh,1035,1.5132408575031562
2000,Alabama,AL,Coosa,1037,-6.0871469235822175
2000,Alabama,AL,Covington,1039,-33.210901344303245
2000,Alabama,AL,Crenshaw,1041,-17.91449426485923
2000,Alabama,AL,Cullman,1043,-31.83403895004234
2000,Alabama,AL,Dale,1045,-35.98000759205365
2000,Alabama,AL,Dallas,1047,19.53531195840555
2000,Alabama,AL,DeKalb,1049,-28.44959329553857
2000,Alabama,AL,Elmore,1051,-42.53486808939674
2000,Alabama,AL,Escambia,1053,-21.029159519725553
2000,Alabama,AL,Etowah,1055,-9.286367795059462
2000,Alabama,AL,Fayette,1057,-19.441598360655732
2000,Alabama,AL,Franklin,1059,-11.942718184274511
2000,Alabama,AL,Geneva,1061,-39.951877811486554
2000,Alabama,AL,Greene,1063,60.37306642402183
2000,Alabama,AL,Hale,1065,21.575475358944516
2000,Alabama,AL,Henry,1067,-18.34968263127525
2000,Alabama,AL,Houston,1069,-39.735471191939354
2000,Alabama,AL,Jackson,1071,3.3005696414609673
2000,Alabama,AL,Jefferson,1073,-3.1421338895321824
2000,Alabama,AL,Lamar,1075,-25.065526279486832
2000,Alabama,AL,Lauderdale,1077,-11.211376295236022
2000,Alabama,AL,Lawrence,1079,5.129257283545343
2000,Alabama,AL,Lee,1081,-20.538887727367758
2000,Alabama,AL,Limestone,1083,-22.052974528222045
2000,Alabama,AL,Lowndes,1085,46.75636713118693
2000,Alabama,AL,Macon,1087,74.44230551466424
2000,Alabama,AL,Madison,1089,-12.312254010836767
2000,Alabama,AL,Marengo,1091,1.5716069941715247
2000,Alabama,AL,Marion,1093,-19.649540660088462
2000,Alabama,AL,Marshall,1095,-23.94869412983673
2000,Alabama,AL,Mobile,1097,-13.969730580700563
2000,Alabama,AL,Monroe,1099,-15.774773768294047
2000,Alabama,AL,Montgomery,1101,1.9221193108256216
2000,Alabama,AL,Morgan,1103,-22.759541716454628
2000,Alabama,AL,Perry,1105,39.53689303611543
2000,Alabama,AL,Pickens,1107,-1.9086651053864259
2000,Alabama,AL,Pike,1109,-16.132397572078908
2000,Alabama,AL,Randolph,1111,-19.850991286778637
2000,Alabama,AL,Russell,1113,14.876480541455166
2000,Alabama,AL,Shelby,1117,-55.47901107391193
2000,Alabama,AL,St. Clair,1115,-44.134495641344955
2000,Alabama,AL,Sumter,1119,45.762155059132716
2000,Alabama,AL,Talladega,1121,-9.99174885073279
2000,Alabama,AL,Tallapoosa,1123,-22.2851165938596
2000,Alabama,AL,Tuscaloosa,1125,-15.618657883354956
2000,Alabama,AL,Walker,1127,-7.273507273507278
2000,Alabama,AL,Washington,1129,-9.623486045287002
2000,Alabama,AL,Wilcox,1131,34.78345688646118
2000,Alabama,AL,Winston,1133,-39.933462116333985
2000,Alaska,AK,District 1,2001,-51.03665865384616
2000,Alaska,AK,District 10,2010,-39.16028815848716
2000,Alaska,AK,District 11,2011,-27.464183381088827
2000,Alaska,AK,District 12,2012,-33.877121431390606
2000,Alaska,AK,District 13,2013,-15.006924335893238
2000,Alaska,AK,District 14,2014,-36.19631901840491
2000,Alaska,AK,District 15,2015,-5.911413969335605
2000,Alaska,AK,District 16,2016,-0.23479188900747516
2000,Alaska,AK,District 17,2017,-30.295950155763247
2000,Alaska,AK,District 18,2018,-27.14025500910747
2000,Alaska,AK,District 19,2019,-28.537290906804177
2000,Alaska,AK,District 2,2002,-29.155387114239307
2000,Alaska,AK,District 20,2020,-19.94829814735028
2000,Alaska,AK,District 21,2021,-14.391310906622408
2000,Alaska,AK,District 22,2022,-26.43988269794721
2000,Alaska,AK,District 23,2023,-36.26349892008639
2000,Alaska,AK,District 24,2024,-38.888186986734055
2000,Alaska,AK,District 25,2025,-46.23826362638704
2000,Alaska,AK,District 26,2026,-49.60419091967404
2000,Alaska,AK,District 27,2027,-43.25541291435141
2000,Alaska,AK,District 28,2028,-45.26268115942028
2000,Alaska,AK,District 29,2029,-14.144848690921453
2000,Alaska,AK,District 3,2003,6.784194528875382
2000,Alaska,AK,District 30,2030,-31.62913036330758
2000,Alaska,AK,District 31,2031,-25.062866722548197
