state,total,D,R,year,D_pv2p,R_pv2p
Alabama,2297295,837376,1427820,2020,0.36967043911431946,0.6303295608856805
Alaska,346524,148190,184993,2020,0.4447705915367831,0.5552294084632169
Arizona,3395329,1672054,1661677,2020,0.5015563643257359,0.4984436356742641
Arkansas,1211285,419578,757438,2020,0.35647603770891817,0.6435239622910819
California,16827982,10744672,5721411,2020,0.6525335746212381,0.34746642537876193
Colorado,3256061,1803921,1364202,2020,0.5693974002903296,0.43060259970967035
Connecticut,1823379,1080492,714613,2020,0.6019101946682784,0.39808980533172156
Delaware,504010,296268,200603,2020,0.5962674416498447,0.40373255835015526
District of Columbia,333682,307265,18172,2020,0.9441612355079477,0.055838764492052224
Florida,11067456,5297045,5668731,2020,0.48305245337858443,0.5169475466214156
Georgia,4991938,2472002,2457880,2020,0.5014322858031897,0.4985677141968104
Hawaii,573854,365802,196602,2020,0.650425672648132,0.34957432735186805
Idaho,868615,287021,554118,2020,0.3412289764236351,0.6587710235763649
Illinois,5833354,3366935,2348194,2020,0.5891266846295158,0.4108733153704842
Indiana,3026214,1240634,1724900,2020,0.4183509614120088,0.5816490385879912
Iowa,1690037,758597,897356,2020,0.45810297756035345,0.5418970224396465
Kansas,1333513,551144,752903,2020,0.42264120848405,0.5773587915159499
Kentucky,2134996,772285,1326418,2020,0.3679820346185239,0.632017965381476
Louisiana,2148062,856034,1255776,2020,0.4053555954370895,0.5946444045629105
Maine,812765,429860,359118,2020,0.5448314148176502,0.4551685851823498
Maryland,2921521,1894321,955735,2020,0.6646609750825949,0.33533902491740514
Massachusetts,3529032,2316338,1148777,2020,0.6684736293023464,0.3315263706976536
Michigan,5534909,2795366,2650232,2020,0.5133258092132398,0.4866741907867602
Minnesota,3275727,1716207,1483551,2020,0.5363552493657333,0.4636447506342667
Mississippi,1159362,452795,688745,2020,0.39665276731432975,0.6033472326856703
Missouri,3012436,1242851,1711848,2020,0.4206354014402144,0.5793645985597856
Montana,603636,244783,343598,2020,0.41602804985205166,0.5839719501479483
Nebraska,943049,370912,552071,2020,0.40186222281450473,0.5981377771854953
Nevada,1405376,703486,669890,2020,0.512231173400438,0.48776882659956194
New Hampshire,803810,424921,365654,2020,0.5374834772159505,0.4625165227840496
New Jersey,4182011,2388680,1730008,2020,0.5799613857616794,0.42003861423832056
New Mexico,921515,499782,401361,2020,0.5546089799288237,0.44539102007117626
New York,6656558,3698632,2850761,2020,0.5647289756470562,0.43527102435294385
North Carolina,5522501,2683787,2757112,2020,0.4932616834093042,0.5067383165906958
North Dakota,361819,114902,235595,2020,0.3278259157710337,0.6721740842289663
Ohio,5765836,2603681,3074418,2020,0.4585480105225358,0.5414519894774642
Oklahoma,1560699,503890,1020280,2020,0.3305996050309349,0.6694003949690651
Oregon,2361091,1333766,952501,2020,0.5833815560474783,0.41661844395252173
Pennsylvania,6860611,3419585,3352498,2020,0.5049532027295,0.4950467972705001
Rhode Island,516358,306192,199830,2020,0.605096221112916,0.39490377888708394
