year,state,VEP,VAP,turnout,turnout_pct
2014,United States,227157964,245712915,81687059,36.0%
2014,Alabama,3588783,3751844,1180413,32.9%
2014,Alaska,520562,553473,282382,54.2%
2014,Arizona,4510186,5110890,1506416,33.4%
2014,Arkansas,2117881,2263040,848592,40.1%
2014,California,24440416,29646675,7317581,29.9%
2014,Colorado,3800664,4128890,2041020,53.7%
2014,Connecticut,2577311,2828791,1089880,42.3%
2014,Delaware,681526,735156,234038,34.3%
2014,District of Columbia,495899,547228,175071,35.3%
2014,Florida,13914216,15816663,5951561,42.8%
2014,Georgia,6725041,7601982,2567761,38.2%
2014,Hawaii,1012123,1113693,366125,36.2%
2014,Idaho,1119882,1205611,439830,39.3%
2014,Illinois,9028752,9922399,3627690,40.2%
2014,Indiana,4829510,5033872,1341814,27.8%
2014,Iowa,2269179,2386733,1129700,49.8%
2014,Kansas,2048164,2184712,869502,42.5%
2014,Kentucky,3247300,3406506,1435868,44.2%
2014,Louisiana,3349433,3545845,1472039,43.9%
2014,Maine,1051557,1071521,611255,58.1%
2014,Maryland,4154546,4645171,1733177,41.7%
2014,Massachusetts,4896296,5369534,2158326,44.1%
2014,Michigan,7383958,7700110,3156531,42.7%
2014,Minnesota,3935121,4194166,1981511,50.4%
2014,Mississippi,2181131,2267463,631858,29.0%
2014,Missouri,4493722,4682458,1426303,31.7%
2014,Montana,787748,802644,369826,46.9%
2014,Nebraska,1334453,1419489,539891,40.5%
2014,Nevada,1867644,2173640,547349,29.3%
2014,New Hampshire,1025862,1061054,488159,47.6%
2014,New Jersey,6014127,6936661,1869535,31.1%
2014,New Mexico,1449503,1586442,512805,35.4%
2014,New York,13553426,15544111,3819010,28.2%
2014,North Carolina,7143737,7693406,2915281,40.8%
2014,North Dakota,567221,582205,248670,43.8%
2014,Ohio,8701243,8969074,3055913,35.1%
2014,Oklahoma,2755091,2940437,824831,29.9%
2014,Oregon,2887517,3115883,1469717,50.9%
2014,Pennsylvania,9689491,10100271,3495866,36.1%
2014,Rhode Island,776286,842605,324055,41.7%
2014,South Carolina,3584461,3760480,1246301,34.8%
2014,South Dakota,630989,647810,279412,44.3%
2014,Tennessee,4799476,5060636,1374065,28.6%
2014,Texas,16675420,19847831,4727208,28.3%
2014,Utah,1905801,2054936,565970,29.7%
2014,Vermont,495884,507304,193087,38.9%
2014,Virginia,5962456,6489957,2184473,36.6%
2014,Washington,4928407,5467270,2029189,41.2%
2014,West Virginia,1447652,1472594,451498,31.2%
2014,Wisconsin,4260427,4470265,2410314,56.6%
2014,Wyoming,431434,451484,168390,39.0%
2012,United States,222474111,240957993,129070906,58.0%
2012,Alabama,3539217,3707440,2074338,58.6%
2012,Alaska,511792,543763,300495,58.7%
2012,Arizona,4387900,4959270,2306559,52.6%
2012,Arkansas,2109847,2242740,1069468,50.7%
2012,California,23681837,28913129,13038547,55.1%
2012,Colorado,3675871,3981208,2569522,69.9%
2012,Connecticut,2543202,2801375,1558960,61.3%
2012,Delaware,663967,715708,413921,62.3%
2012,District of Columbia,477582,528848,293764,61.5%
2012,Florida,13495057,15380947,8474179,62.8%
2012,Georgia,6606607,7452696,3900050,59.0%
2012,Hawaii,982902,1088335,434697,44.2%
2012,Idaho,1091410,1173727,652274,59.8%
2012,Illinois,8899143,9827043,5242014,58.9%
2012,Indiana,4755291,4960376,2624534,55.2%
2012,Iowa,2251748,2356209,1582180,70.3%
2012,Kansas,2030686,2162442,1156254,56.9%
2012,Kentucky,3229185,3368684,1797212,55.7%
2012,Louisiana,3311626,3495847,1994065,60.2%
2012,Maine,1046008,1064779,713180,68.2%
2012,Maryland,4063582,4553853,2707327,66.6%
2012,Massachusetts,4809675,5263550,3167767,65.9%
2012,Michigan,7312725,7625576,4730961,64.7%
2012,Minnesota,3861598,4114820,2936561,76.0%
2012,Mississippi,2166825,2246931,1285584,59.3%
2012,Missouri,4432957,4628500,2757323,62.2%
2012,Montana,774476,785454,484048,62.5%
2012,Nebraska,1316915,1396507,794379,60.3%
