electors,state,leading_party
9,Alabama,R
3,Alaska,R
11,Arizona,D
6,Arkansas,R
55,California,D
9,Colorado,D
7,Connecticut,D
3,D.C.,D
3,Delaware,D
29,Florida,D
16,Georgia,D
4,Hawaii,D
4,Idaho,R
20,Illinois,D
11,Indiana,R
6,Iowa,D
6,Kansas,R
8,Kentucky,R
8,Louisiana,R
4,Maine,D
10,Maryland,D
11,Massachusetts,D
16,Michigan,D
10,Minnesota,D
6,Mississippi,R
10,Missouri,R
3,Montana,R
5,Nebraska,R
6,Nevada,D
4,New Hampshire,D
14,New Jersey,D
5,New Mexico,D
29,New York,D
15,North Carolina,D
3,North Dakota,R
18,Ohio,R
7,Oklahoma,R
7,Oregon,D
20,Pennsylvania,D
4,Rhode Island,D
9,South Carolina,R
3,South Dakota,R
11,Tennessee,R
38,Texas,R
6,Utah,R
3,Vermont,D
13,Virginia,D
12,Washington,D
5,West Virginia,R
10,Wisconsin,D
3,Wyoming,R
