year,state,VEP,VAP
2014,United States,227157964,245712915
2014,Alabama,3588783,3751844
2014,Alaska,520562,553473
2014,Arizona,4510186,5110890
2014,Arkansas,2117881,2263040
2014,California,24440416,29646675
2014,Colorado,3800664,4128890
2014,Connecticut,2577311,2828791
2014,Delaware,681526,735156
2014,District of Columbia,495899,547228
2014,Florida,13914216,15816663
2014,Georgia,6725041,7601982
2014,Hawaii,1012123,1113693
2014,Idaho,1119882,1205611
2014,Illinois,9028752,9922399
2014,Indiana,4829510,5033872
2014,Iowa,2269179,2386733
2014,Kansas,2048164,2184712
2014,Kentucky,3247300,3406506
2014,Louisiana,3349433,3545845
2014,Maine,1051557,1071521
2014,Maryland,4154546,4645171
2014,Massachusetts,4896296,5369534
2014,Michigan,7383958,7700110
2014,Minnesota,3935121,4194166
2014,Mississippi,2181131,2267463
2014,Missouri,4493722,4682458
2014,Montana,787748,802644
2014,Nebraska,1334453,1419489
2014,Nevada,1867644,2173640
2014,New Hampshire,1025862,1061054
2014,New Jersey,6014127,6936661
2014,New Mexico,1449503,1586442
2014,New York,13553426,15544111
2014,North Carolina,7143737,7693406
2014,North Dakota,567221,582205
2014,Ohio,8701243,8969074
2014,Oklahoma,2755091,2940437
2014,Oregon,2887517,3115883
2014,Pennsylvania,9689491,10100271
2014,Rhode Island,776286,842605
2014,South Carolina,3584461,3760480
2014,South Dakota,630989,647810
2014,Tennessee,4799476,5060636
2014,Texas,16675420,19847831
2014,Utah,1905801,2054936
2014,Vermont,495884,507304
2014,Virginia,5962456,6489957
2014,Washington,4928407,5467270
2014,West Virginia,1447652,1472594
2014,Wisconsin,4260427,4470265
2014,Wyoming,431434,451484
2012,United States,222474111,240957993
2012,Alabama,3539217,3707440
2012,Alaska,511792,543763
2012,Arizona,4387900,4959270
2012,Arkansas,2109847,2242740
2012,California,23681837,28913129
2012,Colorado,3675871,3981208
2012,Connecticut,2543202,2801375
2012,Delaware,663967,715708
2012,District of Columbia,477582,528848
2012,Florida,13495057,15380947
2012,Georgia,6606607,7452696
2012,Hawaii,982902,1088335
2012,Idaho,1091410,1173727
2012,Illinois,8899143,9827043
2012,Indiana,4755291,4960376
2012,Iowa,2251748,2356209
2012,Kansas,2030686,2162442
2012,Kentucky,3229185,3368684
2012,Louisiana,3311626,3495847
2012,Maine,1046008,1064779
2012,Maryland,4063582,4553853
2012,Massachusetts,4809675,5263550
2012,Michigan,7312725,7625576
2012,Minnesota,3861598,4114820
2012,Mississippi,2166825,2246931
2012,Missouri,4432957,4628500
2012,Montana,774476,785454
2012,Nebraska,1316915,1396507
2012,Nevada,1800969,2105976
2012,New Hampshire,1013420,1047978
2012,New Jersey,5918182,6847503
2012,New Mexico,1436363,1573400
2012,New York,13324107,15344671
2012,North Carolina,6947954,7496980
2012,North Dakota,539164,549955
2012,Ohio,8649495,8896930
2012,Oklahoma,2713268,2885093
2012,Oregon,2836101,3050747
2012,Pennsylvania,9651432,10037099
2012,Rhode Island,768918,834983
2012,South Carolina,3486838,3662322
2012,South Dakota,613190,631472
2012,Tennessee,4736084,4976284
2012,Texas,16119973,19185395
2012,Utah,1833339,1978956
2012,Vermont,493355,502242
2012,Virginia,5834676,6348827
2012,Washington,4822060,5329782
2012,West Virginia,1447066,1472642
2012,Wisconsin,4209370,4417273
2012,Wyoming,425142,441726
2010,United States,217551109,236022989
2010,Alabama,3472582,3661784
2010,Alaska,493764,528744
2010,Arizona,4209544,4807398
2010,Arkansas,2081156,2216171
2010,California,22946053,28167234
2010,Colorado,3533054,3843619
2010,Connecticut,2512981,2765843
2010,Delaware,646969,696940
2010,District of Columbia,458619,506765
2010,Florida,12961184,14916066
2010,Georgia,6464845,7255919
2010,Hawaii,959531,1062593
2010,Idaho,1069446,1147210
2010,Illinois,8798829,9735944
2010,Indiana,4697111,4896656
2010,Iowa,2234516,2328262
2010,Kansas,2011497,2137815
2010,Kentucky,3198093,3332204
2010,Louisiana,3249524,3438247
2010,Maine,1038201,1055605
2010,Maryland,4001034,4449617
2010,Massachusetts,4693670,5152976
2010,Michigan,7245281,7555742
2010,Minnesota,3802677,4041199
2010,Mississippi,2129334,2220094
2010,Missouri,4366435,4581260
2010,Montana,758653,770601
2010,Nebraska,1301483,1375023
2010,Nevada,1747288,2046400
2010,New Hampshire,999918,1033023
2010,New Jersey,5834037,6750869
2010,New Mexico,1408872,1552212
2010,New York,13135048,15111583
2010,North Carolina,6785463,7310093
2010,North Dakota,516974,527497
2010,Ohio,8571952,8826908
2010,Oklahoma,2666767,2839030
2010,Oregon,2760607,2984806
2010,Pennsylvania,9565822,9946290
2010,Rhode Island,763534,829913
2010,South Carolina,3388417,3571250
2010,South Dakota,599507,616113
2010,Tennessee,4622919,4878724
2010,Texas,15514007,18487369
2010,Utah,1772934,1914974
2010,Vermont,488942,498254
2010,Virginia,5660589,6194717
2010,Washington,4724350,5190736
2010,West Virginia,1442003,1468812
2010,Wisconsin,4172130,4365214
2010,Wyoming,414536,430673
2008,United States,213313508,230872030
2008,Alabama,3454510,3595708
2008,Alaska,479429,507645
2008,Arizona,4046075,4673718
2008,Arkansas,2071563,2174846
2008,California,22261504,27411094
2008,Colorado,3382959,3708955
2008,Connecticut,2471082,2725917
2008,Delaware,628200,680493
2008,District of Columbia,432566,481971
2008,Florida,12687407,14558436
2008,Georgia,6281872,7063638
2008,Hawaii,930067,1036088
2008,Idaho,1029416,1117842
2008,Illinois,8681138,9615700
2008,Indiana,4653019,4826231
2008,Iowa,2216094,2298515
2008,Kansas,1991759,2100084
2008,Kentucky,3152629,3277617
2008,Louisiana,3205794,3342279
2008,Maine,1036242,1049816
2008,Maryland,3925117,4342850
2008,Massachusetts,4612550,5058035
2008,Michigan,7229512,7528460
2008,Minnesota,3740142,3975974
2008,Mississippi,2113347,2190402
2008,Missouri,4327572,4507688
2008,Montana,741853,755384
2008,Nebraska,1274719,1348048
2008,Nevada,1696831,2000277
2008,New Hampshire,992226,1021787
2008,New Jersey,5776527,6651284
2008,New Mexico,1362629,1505830
2008,New York,12948969,14876971
2008,North Carolina,6584302,7096503
2008,North Dakota,504762,512768
2008,Ohio,8513079,8757453
2008,Oklahoma,2619121,2770219
2008,Oregon,2700327,2916246
2008,Pennsylvania,9457942,9813664
2008,Rhode Island,763608,825786
2008,South Carolina,3311044,3473488
2008,South Dakota,590720,602539
2008,Tennessee,4563192,4771926
2008,Texas,14929810,17756112
2008,Utah,1700286,1840087
2008,Vermont,482677,492610
2008,Virginia,5555415,6022123
2008,Washington,4561163,5032960
2008,West Virginia,1430439,1453045
2008,Wisconsin,4120694,4306876
2008,Wyoming,405732,418040
2006,United States,207643594,225485399
2006,Alabama,3338467,3513952
2006,Alaska,465169,492452
2006,Arizona,3923786,4490327
2006,Arkansas,2004193,2130080
2006,California,21582217,26739781
2006,Colorado,3297308,3569901
2006,Connecticut,2437559,2683538
2006,Delaware,601341,659410
2006,District of Columbia,426612,466827
2006,Florida,12187858,14211669
2006,Georgia,6115331,6799654
2006,Hawaii,908925,1012975
2006,Idaho,993010,1072895
2006,Illinois,8667453,9483856
2006,Indiana,4559294,4743856
2006,Iowa,2178322,2267991
2006,Kansas,1948850,2062668
2006,Kentucky,3100828,3218000
2006,Louisiana,3043573,3239317
2006,Maine,1016287,1037200
2006,Maryland,3833349,4261205
2006,Massachusetts,4552794,4970780
2006,Michigan,7292624,7532918
2006,Minnesota,3667707,3896561
2006,Mississippi,2077420,2154112
2006,Missouri,4253541,4427266
2006,Montana,720447,734669
2006,Nebraska,1251027,1325932
2006,Nevada,1579222,1907976
2006,New Hampshire,975281,1006234
2006,New Jersey,5701033,6565183
2006,New Mexico,1320285,1464560
2006,New York,12878632,14665626
2006,North Carolina,6264630,6799585
2006,North Dakota,486142,503647
2006,Ohio,8461211,8687609
2006,Oklahoma,2547224,2709819
2006,Oregon,2628937,2829482
2006,Pennsylvania,9283762,9680466
2006,Rhode Island,754219,824887
2006,South Carolina,3152046,3332190
2006,South Dakota,580592,589178
2006,Tennessee,4433921,4641909
2006,Texas,14255313,17029802
2006,Utah,1664323,1752158
2006,Vermont,478247,487141
2006,Virginia,5385522,5867219
2006,Washington,4403981,4861001
2006,West Virginia,1401490,1439052
2006,Wisconsin,4064432,4240696
2006,Wyoming,379127,400187
2004,United States,203483455,220336019
2004,Alabama,3292608,3427542
2004,Alaska,452124,476378
2004,Arizona,3717055,4215706
2004,Arkansas,1969208,2072986
2004,California,21132533,26246548
2004,Colorado,3192647,3443164
2004,Connecticut,2429634,2652587
2004,Delaware,584817,635370
2004,District of Columbia,419142,458758
2004,Florida,11811921,13643828
2004,Georgia,5878186,6499325
2004,Hawaii,889540,982882
2004,Idaho,946160,1016255
2004,Illinois,8576696,9391420
2004,Indiana,4504260,4660157
2004,Iowa,2156389,2239979
2004,Kansas,1928764,2032763
2004,Kentucky,3057741,3157464
2004,Louisiana,3182762,3379937
2004,Maine,1003792,1022043
2004,Maryland,3797264,4179376
2004,Massachusetts,4533859,4935787
2004,Michigan,7263024,7508568
2004,Minnesota,3609185,3819020
2004,Mississippi,2068766,2133681
2004,Missouri,4180960,4339414
2004,Montana,699114,711858
2004,Nebraska,1236522,1305430
2004,Nevada,1501437,1776962
2004,New Hampshire,956422,984422
2004,New Jersey,5663201,6513394
2004,New Mexico,1282767,1411419
2004,New York,12738056,14598898
2004,North Carolina,6055771,6505150
2004,North Dakota,482722,496479
2004,Ohio,8427696,8624277
2004,Oklahoma,2510823,2649994
2004,Oregon,2550887,2736472
2004,Pennsylvania,9221962,9554349
2004,Rhode Island,747046,827513
2004,South Carolina,3055098,3198733
2004,South Dakota,569161,576472
2004,Tennessee,4328446,4496929
2004,Texas,13796256,16284659
2004,Utah,1574463,1664066
2004,Vermont,470754,480053
2004,Virginia,5277156,5699175
2004,Washington,4272914,4683829
2004,West Virginia,1396545,1425689
2004,Wisconsin,4006948,4172068
2004,Wyoming,370785,386796
2002,United States,198381939,215461549
2002,Alabama,3285643,3371451
2002,Alaska,427337,457154
2002,Arizona,3419481,3998148
2002,Arkansas,1951568,2031787
2002,California,20733192,25622609
