state,VEP,VAP,year
United States,"239,247,182","257,605,088",2020
Alabama,"3,683,055","3,837,540",2020
Alaska,"525,568","551,117",2020
Arizona,"5,189,000","5,798,473",2020
Arkansas,"2,182,375","2,331,171",2020
California,"25,962,648","30,783,255",2020
Colorado,"4,313,054","4,595,504",2020
Connecticut,"2,603,327","2,839,560",2020
Delaware,"720,531","780,822",2020
District of Columbia,"540,685","582,065",2020
Florida,"15,551,739","17,543,341",2020
Georgia,"7,383,562","8,255,108",2020
Hawaii,"1,007,920","1,114,466",2020
Idaho,"1,292,701","1,384,683",2020
Illinois,"9,027,082","9,832,749",2020
Indiana,"5,000,007","5,214,546",2020
Iowa,"2,321,131","2,439,743",2020
Kansas,"2,087,946","2,223,238",2020
Kentucky,"3,312,250","3,479,257",2020
Louisiana,"3,373,932","3,557,594",2020
Maine,"1,085,285","1,104,489",2020
Maryland,"4,313,416","4,729,400",2020
Massachusetts,"5,072,901","5,566,452",2020
Michigan,"7,550,147","7,870,864",2020
Minnesota,"4,118,462","4,378,737",2020
Mississippi,"2,201,950","2,279,412",2020
Missouri,"4,603,060","4,794,796",2020
Montana,"837,298","851,663",2020
Nebraska,"1,383,551","1,469,878",2020
Nevada,"2,153,915","2,450,946",2020
New Hampshire,"1,079,434","1,115,916",2020
New Jersey,"6,158,999","6,952,008",2020
New Mexico,"1,515,355","1,634,037",2020
New York,"13,670,596","15,372,655",2020
North Carolina,"7,759,051","8,328,642",2020
North Dakota,"565,143","584,610",2020
Ohio,"8,859,167","9,144,626",2020
Oklahoma,"2,845,835","3,031,792",2020
Oregon,"3,196,425","3,405,863",2020
Pennsylvania,"9,781,976","10,186,170",2020
Rhode Island,"799,642","857,507",2020
South Carolina,"3,926,305","4,116,633",2020
South Dakota,"648,104","675,016",2020
Tennessee,"5,124,867","5,391,220",2020
Texas,"18,784,280","22,058,260",2020
Utah,"2,191,487","2,343,384",2020
Vermont,"499,884","511,637",2020
Virginia,"6,196,071","6,727,440",2020
Washington,"5,437,844","6,070,046",2020
West Virginia,"1,394,028","1,422,098",2020
Wisconsin,"4,368,530","4,586,746",2020
Wyoming,"431,364","447,915",2020
